ids,sentences
12.12.19.2,gajendrasya vimokṣaṇam
12.12.19.3,manvantarāvatārāś ca
12.12.19.4,viṣṇor hayaśirādayaḥ
12.12.20.1,kaurmaṁ mātsyaṁ nārasiṁhaṁ
12.12.20.2,vāmanaṁ ca jagat-pateḥ
12.12.20.3,kṣīroda-mathanaṁ tadvad
12.12.20.4,amṛtārthe divaukasām
12.12.21.1,devāsura-mahā-yuddhaṁ
12.12.21.2,rāja-vaṁśānukīrtanam
12.12.21.3,ikṣvāku-janma tad-vaṁśaḥ
12.12.21.4,sudyumnasya mahātmanaḥ
12.12.22.1,ilopākhyānam atroktaṁ
12.12.22.2,tāropākhyānam eva ca
12.12.22.3,sūrya-vaṁśānukathanaṁ
12.12.22.4,śaśādādyā nṛgādayaḥ
12.12.23.1,saukanyaṁ cātha śaryāteḥ
12.12.23.2,kakutsthasya ca dhīmataḥ
12.12.23.3,khaṭvāṅgasya ca māndhātuḥ
12.12.23.4,saubhareḥ sagarasya ca
12.12.24.1,rāmasya kośalendrasya
12.12.24.2,caritaṁ kilbiṣāpaham
12.12.24.3,nimer aṅga-parityāgo
12.12.24.4,janakānāṁ ca sambhavaḥ
12.12.25-26.1,rāmasya bhārgavendrasya
12.12.25-26.2,niḥkṣatrī-karaṇaṁ bhuvaḥ
12.12.25-26.3,ailasya soma-vaṁśasya
12.12.25-26.4,yayāter nahuṣasya ca
12.12.27.1,yatrāvatīrṇo bhagavān
12.12.27.2,kṛṣṇākhyo jagad-īśvaraḥ
12.12.27.3,vasudeva-gṛhe janma
12.12.27.4,tato vṛddhiś ca gokule
12.12.28-29.1,tasya karmāṇy apārāṇi
12.12.28-29.2,kīrtitāny asura-dviṣaḥ
12.12.28-29.3,pūtanāsu-payaḥ-pānaṁ
12.12.28-29.4,śakaṭoccāṭanaṁ śiśoḥ
12.12.30.1,dhenukasya saha-bhrātuḥ
12.12.30.2,pralambasya ca saṅkṣayaḥ
12.12.30.3,gopānāṁ ca paritrāṇaṁ
12.12.30.4,dāvāgneḥ parisarpataḥ
12.12.31-33.1,damanaṁ kāliyasyāher
12.12.31-33.2,mahāher nanda-mokṣaṇam
12.12.31-33.3,vrata-caryā tu kanyānāṁ
12.12.31-33.4,yatra tuṣṭo ’cyuto vrataiḥ
12.12.34.1,akrūrāgamanaṁ paścāt
12.12.34.2,prasthānaṁ rāma-kṛṣṇayoḥ
12.12.34.3,vraja-strīṇāṁ vilāpaś ca
12.12.34.4,mathurālokanaṁ tataḥ
12.12.35.1,gaja-muṣṭika-cāṇūra-
12.12.35.2,kaṁsādīnāṁ tathā vadhaḥ
12.12.35.3,mṛtasyānayanaṁ sūnoḥ
12.12.35.4,punaḥ sāndīpaner guroḥ
12.12.36.1,mathurāyāṁ nivasatā
12.12.36.2,yadu-cakrasya yat priyam
12.12.36.3,kṛtam uddhava-rāmābhyāṁ
12.12.36.4,yutena hariṇā dvijāḥ
12.12.37.1,jarāsandha-samānīta-
12.12.37.2,sainyasya bahuśo vadhaḥ
12.12.37.3,ghātanaṁ yavanendrasya
12.12.37.4,kuśasthalyā niveśanam
12.12.38.1,ādānaṁ pārijātasya
12.12.38.2,sudharmāyāḥ surālayāt
12.12.38.3,rukmiṇyā haraṇaṁ yuddhe
12.12.38.4,pramathya dviṣato hareḥ
12.12.39.1,harasya jṛmbhaṇaṁ yuddhe
12.12.39.2,bāṇasya bhuja-kṛntanam
12.12.39.3,prāgjyotiṣa-patiṁ hatvā
12.12.39.4,kanyānāṁ haraṇaṁ ca yat
12.12.40-41.1,caidya-pauṇḍraka-śālvānāṁ
12.12.40-41.2,dantavakrasya durmateḥ
12.12.40-41.3,śambaro dvividaḥ pīṭho
12.12.40-41.4,muraḥ pañcajanādayaḥ
12.12.42-43.1,vipra-śāpāpadeśena
12.12.42-43.2,saṁhāraḥ sva-kulasya ca
12.12.42-43.3,uddhavasya ca saṁvādo
12.12.42-43.4,vasudevasya cādbhutaḥ
12.12.44.1,yuga-lakṣaṇa-vṛttiś ca
12.12.44.2,kalau nṝṇām upaplavaḥ
12.12.44.3,catur-vidhaś ca pralaya
12.12.44.4,utpattis tri-vidhā tathā
12.12.45.1,deha-tyāgaś ca rājarṣer
12.12.45.2,viṣṇu-rātasya dhīmataḥ
12.12.45.3,śākhā-praṇayanam ṛṣer
12.12.45.4,mārkaṇḍeyasya sat-kathā
12.12.45.5,mahā-puruṣa-vinyāsaḥ
12.12.45.6,sūryasya jagad-ātmanaḥ
12.12.46.1,iti coktaṁ dvija-śreṣṭhā
12.12.46.2,yat pṛṣṭo ’ham ihāsmi vaḥ
12.12.46.3,līlāvatāra-karmāṇi
12.12.46.4,kīrtitānīha sarvaśaḥ
12.12.47.1,patitaḥ skhalitaś cārtaḥ
12.12.47.2,kṣuttvā vā vivaśo gṛṇan
12.12.47.3,haraye nama ity uccair
12.12.47.4,mucyate sarva-pātakāt
12.12.48.1,saṅkīrtyamāno bhagavān anantaḥ
12.12.48.2,śrutānubhāvo vyasanaṁ hi puṁsām
12.12.48.3,praviśya cittaṁ vidhunoty aśeṣaṁ
12.12.48.4,yathā tamo ’rko ’bhram ivāti-vātaḥ
12.12.49.1,mṛṣā giras tā hy asatīr asat-kathā
12.12.49.2,na kathyate yad bhagavān adhokṣajaḥ
12.12.49.3,tad eva satyaṁ tad u haiva maṅgalaṁ
12.12.49.4,tad eva puṇyaṁ bhagavad-guṇodayam
12.12.50.1,tad eva ramyaṁ ruciraṁ navaṁ navaṁ
12.12.50.2,tad eva śaśvan manaso mahotsavam
12.12.50.3,tad eva śokārṇava-śoṣaṇaṁ nṛṇāṁ
12.12.50.4,yad uttamaḥśloka-yaśo ’nugīyate
12.12.51.1,na yad vacaś citra-padaṁ harer yaśo
12.12.51.2,jagat-pavitraṁ pragṛṇīta karhicit
12.12.51.3,tad dhvāṅkṣa-tīrthaṁ na tu haṁsa-sevitaṁ
12.12.51.4,yatrācyutas tatra hi sādhavo ’malāḥ
12.12.52.1,tad vāg-visargo janatāgha-samplavo
12.12.52.2,yasmin prati-ślokam abaddhavaty api
12.12.52.3,nāmāny anantasya yaśo ’ṅkitāni yat
12.12.52.4,śṛṇvanti gāyanti gṛṇanti sādhavaḥ
12.12.53.1,naiṣkarmyam apy acyuta-bhāva-varjitaṁ
12.12.53.2,na śobhate jñānam alaṁ nirañjanam
12.12.53.3,kutaḥ punaḥ śaśvad abhadram īśvare
12.12.53.4,na hy arpitaṁ karma yad apy anuttamam
12.12.54.1,yaśaḥ-śriyām eva pariśramaḥ paro
12.12.54.2,varṇāśramācāra-tapaḥ-śrutādiṣu
12.12.54.3,avismṛtiḥ śrīdhara-pāda-padmayor
12.12.54.4,guṇānuvāda-śravaṇādarādibhiḥ
12.12.55.1,avismṛtiḥ kṛṣṇa-padāravindayoḥ
12.12.55.2,kṣiṇoty abhadrāṇi ca śaṁ tanoti
12.12.55.3,sattvasya śuddhiṁ paramātma-bhaktiṁ
12.12.55.4,jñānaṁ ca vijñāna-virāga-yuktam
12.12.56.1,yūyaṁ dvijāgryā bata bhūri-bhāgā
12.12.56.2,yac chaśvad ātmany akhilātma-bhūtam
12.12.56.3,nārāyaṇaṁ devam adevam īśam
12.12.56.4,ajasra-bhāvā bhajatāviveśya
12.12.57.1,ahaṁ ca saṁsmārita ātma-tattvaṁ
12.12.57.2,śrutaṁ purā me paramarṣi-vaktrāt
12.12.57.3,prāyopaveśe nṛpateḥ parīkṣitaḥ
12.12.57.4,sadasy ṛṣīṇāṁ mahatāṁ ca śṛṇvatām
12.12.58.1,etad vaḥ kathitaṁ viprāḥ
12.12.58.2,kathanīyoru-karmaṇaḥ
12.12.58.3,māhātmyaṁ vāsudevasya
12.12.58.4,sarvāśubha-vināśanam
12.12.59.1,ya etat śrāvayen nityaṁ
12.12.59.2,yāma-kṣaṇam ananya-dhīḥ
12.12.59.3,ślokam ekaṁ tad-ardhaṁ vā
12.12.59.4,pādaṁ pādārdham eva vā
12.12.59.5,śraddhāvān yo ’nuśṛṇuyāt
12.12.59.6,punāty ātmānam eva saḥ
12.12.60.1,dvādaśyām ekādaśyāṁ vā
12.12.60.2,śṛṇvann āyuṣyavān bhavet
12.12.60.3,paṭhaty anaśnan prayataḥ
12.12.60.4,pūto bhavati pātakāt
12.12.61.1,puṣkare mathurāyāṁ ca
12.12.61.2,dvāravatyāṁ yatātmavān
12.12.61.3,upoṣya saṁhitām etāṁ
12.12.61.4,paṭhitvā mucyate bhayāt
12.12.62.1,devatā munayaḥ siddhāḥ
12.12.62.2,pitaro manavo nṛpāḥ
12.12.62.3,yacchanti kāmān gṛṇataḥ
12.12.62.4,śṛṇvato yasya kīrtanāt
12.12.63.1,ṛco yajūṁṣi sāmāni
12.12.63.2,dvijo ’dhītyānuvindate
12.12.63.3,madhu-kulyā ghṛta-kulyāḥ
12.12.63.4,payaḥ-kulyāś ca tat phalam
12.12.64.1,purāṇa-saṁhitām etām
12.12.64.2,adhītya prayato dvijaḥ
12.12.64.3,proktaṁ bhagavatā yat tu
12.12.64.4,tat padaṁ paramaṁ vrajet
12.12.65.1,vipro ’dhītyāpnuyāt prajñāṁ
12.12.65.2,rājanyodadhi-mekhalām
12.12.65.3,vaiśyo nidhi-patitvaṁ ca
12.12.65.4,śūdraḥ śudhyeta pātakāt
12.12.66.1,kali-mala-saṁhati-kālano ’khileśo
12.12.66.2,harir itaratra na gīyate hy abhīkṣṇam
12.12.66.3,iha tu punar bhagavān aśeṣa-mūrtiḥ
12.12.66.4,paripaṭhito ’nu-padaṁ kathā-prasaṅgaiḥ
12.12.67.1,tam aham ajam anantam ātma-tattvaṁ
12.12.67.2,jagad-udaya-sthiti-saṁyamātma-śaktim
12.12.67.3,dyu-patibhir aja-śakra-śaṅkarādyair
12.12.67.4,duravasita-stavam acyutaṁ nato ’smi
12.12.68.1,upacita-nava-śaktibhiḥ sva ātmany
12.12.68.2,uparacita-sthira-jaṅgamālayāya
12.12.68.3,bhagavata upalabdhi-mātra-dhamne
12.12.68.4,sura-ṛṣabhāya namaḥ sanātanāya
12.12.69.1,sva-sukha-nibhṛta-cetās tad-vyudastānya-bhāvo
12.12.69.2,’py ajita-rucira-līlākṛṣṭa-sāras tadīyam
12.12.69.3,vyatanuta kṛpayā yas tattva-dīpaṁ purāṇaṁ
12.12.69.4,tam akhila-vṛjina-ghnaṁ vyāsa-sūnuṁ nato ’smi
12.13.1.1,sūta uvāca
12.13.2.1,pṛṣṭhe bhrāmyad amanda-mandara-giri-grāvāgra-kaṇḍūyanān
12.13.2.2,nidrāloḥ kamaṭhākṛter bhagavataḥ śvāsānilāḥ pāntu vaḥ
12.13.2.3,yat-saṁskāra-kalānuvartana-vaśād velā-nibhenāmbhasāṁ
12.13.2.4,yātāyātam atandritaṁ jala-nidher nādyāpi viśrāmyati
12.13.3.1,purāṇa-saṅkhyā-sambhūtim
12.13.3.2,asya vācya-prayojane
12.13.3.3,dānaṁ dānasya māhātmyaṁ
12.13.3.4,pāṭhādeś ca nibodhata
12.13.4-9.1,brāhmaṁ daśa sahasrāṇi
12.13.4-9.2,pādmaṁ pañcona-ṣaṣṭi ca
12.13.4-9.3,śrī-vaiṣṇavaṁ trayo-viṁśac
12.13.4-9.4,catur-viṁśati śaivakam
12.13.10.1,idaṁ bhagavatā pūrvaṁ
12.13.10.2,brahmaṇe nābhi-paṅkaje
12.13.10.3,sthitāya bhava-bhītāya
12.13.10.4,kāruṇyāt samprakāśitam
12.13.11-12.1,ādi-madhyāvasāneṣu
12.13.11-12.2,vairāgyākhyāna-saṁyutam
12.13.11-12.3,hari-līlā-kathā-vrātā-
12.13.11-12.4,mṛtānandita-sat-suram
12.13.13.1,prauṣṭhapadyāṁ paurṇamāsyāṁ
12.13.13.2,hema-siṁha-samanvitam
12.13.13.3,dadāti yo bhāgavataṁ
12.13.13.4,sa yāti paramāṁ gatim
12.13.14.1,rājante tāvad anyāni
12.13.14.2,purāṇāni satāṁ gaṇe
12.13.14.3,yāvad bhāgavataṁ naiva
12.13.14.4,śrūyate ’mṛta-sāgaram
12.13.15.1,sarva-vedānta-sāraṁ hi
12.13.15.2,śrī-bhāgavatam iṣyate
12.13.15.3,tad-rasāmṛta-tṛptasya
12.13.15.4,nānyatra syād ratiḥ kvacit
12.13.16.1,nimna-gānāṁ yathā gaṅgā
12.13.16.2,devānām acyuto yathā
12.13.16.3,vaiṣṇavānāṁ yathā śambhuḥ
12.13.16.4,purāṇānām idam tathā
12.13.17.1,kṣetrāṇāṁ caiva sarveṣāṁ
12.13.17.2,yathā kāśī hy anuttamā
12.13.17.3,tathā purāṇa-vrātānāṁ
12.13.17.4,śrīmad-bhāgavataṁ dvijāḥ
12.13.18.1,śrīmad-bhāgavataṁ purāṇam amalaṁ yad vaiṣṇavānāṁ priyaṁ
12.13.18.2,yasmin pāramahaṁsyam ekam amalaṁ jñānaṁ paraṁ gīyate
12.13.18.3,tatra jñāna-virāga-bhakti-sahitaṁ naiṣkarmyam āviskṛtaṁ
12.13.18.4,tac chṛṇvan su-paṭhan vicāraṇa-paro bhaktyā vimucyen naraḥ
12.13.19.1,kasmai yena vibhāsito ’yam atulo jñāna-pradīpaḥ purā
12.13.19.2,tad-rūpeṇa ca nāradāya munaye kṛṣṇāya tad-rūpiṇā
12.13.19.3,yogīndrāya tad-ātmanātha bhagavad-rātāya kāruṇyatas
12.13.19.4,tac chuddhaṁ vimalaṁ viśokam amṛtaṁ satyaṁ paraṁ dhīmahi
12.13.20.1,namas tasmai bhagavate
12.13.20.2,vāsudevāya sākṣiṇe
12.13.20.3,ya idam kṛpayā kasmai
12.13.20.4,vyācacakṣe mumukṣave
12.13.21.1,yogīndrāya namas tasmai
12.13.21.2,śukāya brahma-rūpiṇe
12.13.21.3,saṁsāra-sarpa-daṣṭaṁ yo
12.13.21.4,viṣṇu-rātam amūmucat
12.13.22.1,bhave bhave yathā bhaktiḥ
12.13.22.2,pādayos tava jāyate
12.13.22.3,tathā kuruṣva deveśa
12.13.22.4,nāthas tvaṁ no yataḥ prabho
12.13.23.1,nāma-saṅkīrtanaṁ yasya
12.13.23.2,sarva-pāpa praṇāśanam
12.13.23.3,praṇāmo duḥkha-śamanas
12.13.23.4,taṁ namāmi hariṁ param
