ids,sentences,OCR
11.27.52.2,sadmanā bhuvana-trayam,sadmana bhuvana-trayam
11.27.52.3,pūjādinā brahma-lokaṁ,pujadina brahma-lokam
11.27.52.4,tribhir mat-sāmyatām iyāt,tribhir mat-samyatam iyat
11.27.53.1,mām eva nairapekṣyeṇa,mam eva nairapeksyena
11.27.53.2,bhakti-yogena vindati,bhakti-yogena vindati
11.27.53.3,bhakti-yogaṁ sa labhata,bhakti-yogam sa labhata
11.27.53.4,evaṁ yaḥ pūjayeta mām,evam yah pujayeta mam
11.27.54.1,yaḥ sva-dattāṁ parair dattāṁ,yah sva-dattam parair dattam
11.27.54.2,hareta sura-viprayoḥ,hareta sura-viprayoh
11.27.54.3,vṛttiṁ sa jāyate viḍ-bhug,vrttim sa jayate vid-bhug
11.27.54.4,varṣāṇām ayutāyutam,varsanam ayutayutam
11.27.55.1,kartuś ca sārather hetor,kartus ca sarather hetor
11.27.55.2,anumoditur eva ca,anumoditur eva ca
11.27.55.3,karmaṇāṁ bhāginaḥ pretya,karmanam bhaginah pretya
11.27.55.4,bhūyo bhūyasi tat-phalam,bhayo bhayasi tat-phalam
11.28.1.1,śrī-bhagavān uvāca,Sri-bhagavan uvaca
11.28.2.1,para-svabhāva-karmāṇi,para-svabhava-karmani
11.28.2.2,yaḥ praśaṁsati nindati,yah prasamsati nindati
11.28.2.3,sa āśu bhraśyate svārthād,sa asu bhrasyate svarthad
11.28.2.4,asaty abhiniveśataḥ,asaty abhinivesatah
11.28.3.1,taijase nidrayāpanne,taijase nidrayapanne
11.28.3.2,piṇḍa-stho naṣṭa-cetanaḥ,pinda-stho nasta-cetanah
11.28.3.3,māyāṁ prāpnoti mṛtyuṁ vā,mayam prapnoti mrtyum va
11.28.3.4,tadvan nānārtha-dṛk pumān,tadvan nanartha-drk puman
11.28.4.1,kiṁ bhadraṁ kim abhadraṁ vā,kim bhadram kim abhadram va
11.28.4.2,dvaitasyāvastunaḥ kiyat,dvaitasyavastunah kiyat
11.28.4.3,vācoditaṁ tad anṛtaṁ,vacoditam tad anrtam
11.28.4.4,manasā dhyātam eva ca,manasa dhyatam eva ca
11.28.5.1,chāyā-pratyāhvayābhāsā,chaya-pratyahvayabhasa
11.28.5.2,hy asanto ’py artha-kāriṇaḥ,hy asanto 'py artha-karinah
11.28.5.3,evaṁ dehādayo bhāvā,evam dehadayo bhava
11.28.5.4,yacchanty ā-mṛtyuto bhayam,yacchanty a-mrtyuto bhayam
11.28.6-7.1,ātmaiva tad idaṁ viśvaṁ,atmaiva tad idam visvam
11.28.6-7.2,sṛjyate sṛjati prabhuḥ,sryate srjati prabhuh
11.28.6-7.3,trāyate trāti viśvātmā,trayate trati visvatma
11.28.6-7.4,hriyate haratīśvaraḥ,hriyate haratisvarah
11.28.8.1,etad vidvān mad-uditaṁ,etad vidvan mad-uditam
11.28.8.2,jñāna-vijñāna-naipuṇam,inana-vijnana-naipunam
11.28.8.3,na nindati na ca stauti,na nindati na ca stauti
11.28.8.4,loke carati sūrya-vat,loke carati surya-vat
11.28.9.1,pratyakṣeṇānumānena,pratyaksenanumanena
11.28.9.2,nigamenātma-saṁvidā,nigamenatma-samvida
11.28.9.3,ādy-antavad asaj jñātvā,ady-antavad asaj jnatva
11.28.9.4,niḥsaṅgo vicared iha,nihsango vicared tha
11.28.10.1,śrī-uddhava uvāca,Ssri-uddhava uvaca
11.28.11.1,ātmāvyayo ’guṇaḥ śuddhaḥ,atmavyayo 'gunah suddhah
11.28.11.2,svayaṁ-jyotir anāvṛtaḥ,svayam-jyotir anavrtah
11.28.11.3,agni-vad dāru-vad acid,agni-vad daru-vad acid
11.28.11.4,dehaḥ kasyeha saṁsṛtiḥ,dehah kasyeha samsrtih
11.28.12.1,śrī-bhagavān uvāca,Sri-bhagavan uvaca
11.28.13.1,arthe hy avidyamāne ’pi,arthe hy avidyamane 'pi
11.28.13.2,saṁsṛtir na nivartate,samsrtir na nivartate
11.28.13.3,dhyāyato viṣayān asya,dhyayato visayan asya
11.28.13.4,svapne ’narthāgamo yathā,svapne 'narthagamo yatha
11.28.14.1,yathā hy apratibuddhasya,yatha hy apratibuddhasya
11.28.14.2,prasvāpo bahv-anartha-bhṛt,prasvapo bahv-anartha-bhrt
11.28.14.3,sa eva pratibuddhasya,sa eva pratibuddhasya
11.28.14.4,na vai mohāya kalpate,na vai mohaya kalpate
11.28.15.1,śoka-harṣa-bhaya-krodha-,soka-harsa-bhaya-krodha-
11.28.15.2,lobha-moha-spṛhādayaḥ,lobha-moha-sprhadayah
11.28.15.3,ahaṅkārasya dṛśyante,ahankarasya dréyante
11.28.15.4,janma-mṛtyuś ca nātmanaḥ,anma-mrtyus ca natmanah
11.28.16.1,dehendriya-prāṇa-mano-’bhimāno,dehendriya-prana-mano-'bhimano
11.28.16.2,jīvo ’ntar-ātmā guṇa-karma-mūrtiḥ,jivo 'ntar-atma guna-karma-murtih
11.28.16.3,sūtraṁ mahān ity urudheva gītaḥ,sutram mahan ity urudheva gitah
11.28.16.4,saṁsāra ādhāvati kāla-tantraḥ,samsara adhavati kala-tantrah
11.28.17.1,amūlam etad bahu-rūpa-rūpitaṁ,amulam etad bahu-raupa-rupitam
11.28.17.2,mano-vacaḥ-prāṇa-śarīra-karma,mano-vacah-prana-Ssarira-karma
11.28.17.3,jñānāsinopāsanayā śitena,inanasinopasanaya sitena
11.28.17.4,cchittvā munir gāṁ vicaraty atṛṣṇaḥ,cchittva munir gam vicaraty atrsnah
11.28.18.1,jñānaṁ viveko nigamas tapaś ca,inanam viveko nigamas tapas ca
11.28.18.2,pratyakṣam aitihyam athānumānam,pratyaksam aitihyam athanumanam
11.28.18.3,ādy-antayor asya yad eva kevalaṁ,ady-antayor asya yad eva kevalam
11.28.18.4,kālaś ca hetuś ca tad eva madhye,kalas ca hetus ca tad eva madhye
11.28.19.1,yathā hiraṇyaṁ sv-akṛtaṁ purastāt,yatha hiranyam sv-akrtam purastat
11.28.19.2,paścāc ca sarvasya hiraṇ-mayasya,pascac ca sarvasya hiran-mayasya
11.28.19.3,tad eva madhye vyavahāryamāṇaṁ,tad eva madhye vyavaharyamanam
11.28.19.4,nānāpadeśair aham asya tadvat,nanapadesair aham asya tadvat
11.28.20.1,vijñānam etat triy-avastham aṅga,viinanam etat triy-avastham anga
11.28.20.2,guṇa-trayaṁ kāraṇa-kārya-kartṛ,guna-trayam karana-karya-kartr
11.28.20.3,samanvayena vyatirekataś ca,samanvayena vyatirekatas$s ca
11.28.20.4,yenaiva turyeṇa tad eva satyam,yenaiva turyena tad eva satyam
11.28.21.1,na yat purastād uta yan na paścān,na yat purastad uta yan na pascan
11.28.21.2,madhye ca tan na vyapadeśa-mātram,madhye ca tan na vyapadesa-matram
11.28.21.3,bhūtaṁ prasiddhaṁ ca pareṇa yad yat,bhutam prasiddham ca parena yad yat
11.28.21.4,tad eva tat syād iti me manīṣā,tad eva tat syad iti me manisa
11.28.22.1,avidyamāno ’py avabhāsate yo,avidyamano 'py avabhasate yo
11.28.22.2,vaikāriko rājasa-sarga eṣaḥ,vaikariko rajasa-sarga esah
11.28.22.3,brahma svayaṁ jyotir ato vibhāti,brahma svayam jyotir ato vibhati
11.28.22.4,brahmendriyārthātma-vikāra-citram,brahmendriyarthatma-vikara-citram
11.28.23.1,evaṁ sphuṭaṁ brahma-viveka-hetubhiḥ,evam sphutam brahma-viveka-hetubhih
11.28.23.2,parāpavādena viśāradena,parapavadena visaradena
11.28.23.3,chittvātma-sandeham upārameta,chittvatma-sandeham uparameta
11.28.23.4,svānanda-tuṣṭo ’khila-kāmukebhyaḥ,svananda-tusto 'khila-kamukebhyah
11.28.24.1,nātmā vapuḥ pārthivam indriyāṇi,natma vapuh parthivam indriyani
11.28.24.2,devā hy asur vāyur jalam hutāśaḥ,deva hy asur vayur jalam hutasah
11.28.24.3,mano ’nna-mātraṁ dhiṣaṇā ca sattvam,mano 'nna-matram dhisana ca sattvam
11.28.24.4,ahaṅkṛtiḥ khaṁ kṣitir artha-sāmyam,ahankrtih kham ksitir artha-samyam
11.28.25.1,samāhitaiḥ kaḥ karaṇair guṇātmabhir,samahitaih kah karanair gunatmabhir
11.28.25.2,guṇo bhaven mat-suvivikta-dhāmnaḥ,guno bhaven mat-suvivikta-dhamnah
11.28.25.3,vikṣipyamāṇair uta kiṁ nu dūṣaṇaṁ,viksipyamanair uta kim nu dusanam
11.28.25.4,ghanair upetair vigatai raveḥ kim,ghanair upetair vigatai raveh kim
11.28.26.1,yathā nabho vāyv-analāmbu-bhū-guṇair,yatha nabho vayv-analambu-bha-gunair
11.28.26.2,gatāgatair vartu-guṇair na sajjate,gatagatair vartu-gunair na sajjate
11.28.26.3,tathākṣaraṁ sattva-rajas-tamo-malair,tathaksaram sattva-rajas-tamo-malair
11.28.26.4,ahaṁ-mateḥ saṁsṛti-hetubhiḥ param,aham-mateh samsrti-hetubhih param
11.28.27.1,tathāpi saṅgaḥ parivarjanīyo,tathapi sangah parivarjantyo
11.28.27.2,guṇeṣu māyā-raciteṣu tāvat,gunesu maya-racitesu tavat
11.28.27.3,mad-bhakti-yogena dṛḍhena yāvad,mad-bhakti-yogena drdhena yavad
11.28.27.4,rajo nirasyeta manaḥ-kaṣāyaḥ,rajo nirasyeta manah-kasayah
11.28.28.1,yathāmayo ’sādhu cikitsito nṛṇāṁ,yathamayo 'sadhu cikitsito nrnam
11.28.28.2,punaḥ punaḥ santudati prarohan,punah punah santudati prarohan
11.28.28.3,evaṁ mano ’pakva-kaṣāya-karma,evam mano 'pakva-kasaya-karma
11.28.28.4,kuyoginaṁ vidhyati sarva-saṅgam,kuyoginam vidhyati sarva-sangam
11.28.29.1,kuyogino ye vihitāntarāyair,kuyogino ye vihitantarayair
11.28.29.2,manuṣya-bhūtais tridaśopasṛṣṭaiḥ,manusya-bhutais tridasopasrstaih
11.28.29.3,te prāktanābhyāsa-balena bhūyo,te praktanabhyasa-balena bhuyo
11.28.29.4,yuñjanti yogaṁ na tu karma-tantram,yunjanti yogam na tu karma-tantram
11.28.30.1,karoti karma kriyate ca jantuḥ,karoti karma kriyate ca jantuh
11.28.30.2,kenāpy asau codita ā-nipātāt,kenapy asau codita a-nipatat
11.28.30.3,na tatra vidvān prakṛtau sthito ’pi,na tatra vidvan prakrtau sthito 'pi
11.28.30.4,nivṛtta-tṛṣṇaḥ sva-sukhānubhūtyā,nivrtta-trsnah sva-sukhanubhatya
11.28.32.1,yadi sma paśyaty asad-indriyārthaṁ,yadi sma pasyaty asad-indriyartham
11.28.32.2,nānānumānena viruddham anyat,nananumanena viruddham anyat
11.28.32.3,na manyate vastutayā manīṣī,na manyate vastutaya manis
11.28.32.4,svāpnaṁ yathotthāya tirodadhānam,svapnam yathotthaya tirodadhanam
11.28.33.1,pūrvaṁ gṛhītaṁ guṇa-karma-citram,purvam grhitam guna-karma-citram
11.28.33.2,ajñānam ātmany aviviktam aṅga,ajnanam atmany aviviktam anga
11.28.33.3,nivartate tat punar īkṣayaiva,nivartate tat punar TIksayaiva
11.28.33.4,na gṛhyate nāpi visṛjya ātmā,na grhyate napi visrjya atma
11.28.34.1,yathā hi bhānor udayo nṛ-cakṣuṣāṁ,yatha hi bhanor udayo nr-caksusam
11.28.34.2,tamo nihanyān na tu sad vidhatte,tamo nihanyan na tu sad vidhatte
11.28.34.3,evaṁ samīkṣā nipuṇā satī me,evam samiksa nipuna sat me
11.28.34.4,hanyāt tamisraṁ puruṣasya buddheḥ,hanyat tamisram purusasya buddheh
11.28.35.1,eṣa svayaṁ-jyotir ajo ’prameyo,esa svayam-jyotir ajo 'prameyo
11.28.35.2,mahānubhūtiḥ sakalānubhūtiḥ,mahanubhatih sakalanubhatih
11.28.35.3,eko ’dvitīyo vacasāṁ virāme,eko 'dvittyo vacasam virame
11.28.35.4,yeneṣitā vāg-asavaś caranti,yenesita vag-asavas caranti
11.28.36.1,etāvān ātma-sammoho,etavan atma-sammoho
11.28.36.2,yad vikalpas tu kevale,yad vikalpas tu kevale
11.28.36.3,ātman ṛte svam ātmānam,atman rte svam atmanam
11.28.36.4,avalambo na yasya hi,avalambo na yasya hi
11.28.37.1,yan nāmākṛtibhir grāhyaṁ,yan namakrtibhir grahyam
11.28.37.2,pañca-varṇam abādhitam,panca-varnam abadhitam
11.28.37.3,vyarthenāpy artha-vādo ’yaṁ,vyarthenapy artha-vado 'yam
11.28.37.4,dvayaṁ paṇḍita-māninām,dvayam pandita-maninam
11.28.38.1,yogino ’pakva-yogasya,yogino 'pakva-yogasya
11.28.38.2,yuñjataḥ kāya utthitaiḥ,yunjatah kaya utthitaih
11.28.38.3,upasargair vihanyeta,upasargair vihanyeta
11.28.38.4,tatrāyaṁ vihito vidhiḥ,tatrayam vihito vidhih
11.28.39.1,yoga-dhāraṇayā kāṁścid,yoga-dharanaya kamscid
11.28.39.2,āsanair dhāraṇānvitaiḥ,asanair dharananvitaih
11.28.39.3,tapo-mantrauṣadhaiḥ kāṁścid,tapo-mantrausadhaih kamscid
11.28.39.4,upasargān vinirdahet,upasargan vinirdahet
11.28.40.1,kāṁścin mamānudhyānena,kamscin mamanudhyanena
11.28.40.2,nāma-saṅkīrtanādibhiḥ,nama-sankirtanadibhih
11.28.40.3,yogeśvarānuvṛttyā vā,yogesvaranuyvrttya va
11.28.40.4,hanyād aśubha-dān śanaiḥ,hanyad asubha-dan sanaih
11.28.41.1,kecid deham imaṁ dhīrāḥ,kecid deham imam dhirah
11.28.41.2,su-kalpaṁ vayasi sthiram,su-kalpam vayasi sthiram
11.28.41.3,vidhāya vividhopāyair,vidhaya vividhopayair
11.28.41.4,atha yuñjanti siddhaye,atha yunjanti siddhaye
11.28.42.1,na hi tat kuśalādṛtyaṁ,na hi tat kusaladrtyam
11.28.42.2,tad-āyāso hy apārthakaḥ,tad-ayaso hy aparthakah
11.28.42.3,antavattvāc charīrasya,antavattvac charirasya
11.28.42.4,phalasyeva vanaspateḥ,phalasyeva vanaspateh
11.28.43.1,yogaṁ niṣevato nityaṁ,yogam nisevato nityam
11.28.43.2,kāyaś cet kalpatām iyāt,kayas cet kalpatam iyat
11.28.43.3,tac chraddadhyān na matimān,tac chraddadhyan na matiman
11.28.43.4,yogam utsṛjya mat-paraḥ,yogam utsrjya mat-parah
11.28.44.1,yoga-caryām imāṁ yogī,yoga-caryam imam yogi
11.28.44.2,vicaran mad-apāśrayaḥ,vicaran mad-apasrayah
11.28.44.3,nāntarāyair vihanyeta,nantarayair vihanyeta
11.28.44.4,niḥspṛhaḥ sva-sukhānubhūḥ,nibsprhah sva-sukhanubhuah
11.29.1.1,śrī-uddhava uvāca,Ssri-uddhava uvaca
11.29.2.1,prāyaśaḥ puṇḍarīkākṣa,prayasah pundarikaksa
11.29.2.2,yuñjanto yogino manaḥ,yunjanto yogino manah
11.29.2.3,viṣīdanty asamādhānān,visidanty asamadhanan
11.29.2.4,mano-nigraha-karśitāḥ,mano-nigraha-karsitah
11.29.3.1,athāta ānanda-dughaṁ padāmbujaṁ,athata ananda-dugham padambuyjam
11.29.3.2,haṁsāḥ śrayerann aravinda-locana,hamsah srayerann aravinda-locana
11.29.3.3,sukhaṁ nu viśveśvara yoga-karmabhis,sukham nu visvesvara yoga-karmabhis
11.29.3.4,tvan-māyayāmī vihatā na māninaḥ,tvan-mayayam1t vihata na maninah
11.29.4.1,kiṁ citram acyuta tavaitad aśeṣa-bandho,kim citram acyuta tavaitad agesa-bandho
11.29.4.2,dāseṣv ananya-śaraṇesu yad ātma-sāttvam,dasesyv ananya-Ssaranesu yad atma-sattvam
11.29.4.3,yo ’rocayat saha mṛgaiḥ svayam īśvarāṇāṁ,yo 'rocayat saha mrgaih svayam isvaranam
11.29.4.4,śrīmat-kirīṭa-taṭa-pīḍita-pāda-pīṭhaḥ,$rimat-kirita-tata-pidita-pada-pithah
11.29.5.1,taṁ tvākhilātma-dayiteśvaram āśritānāṁ,tam tvakhilatma-dayitesvaram asritanam
11.29.5.2,sarvārtha-daṁ sva-kṛta-vid visṛjeta ko nu,sarvartha-dam sva-krta-vid visrjeta ko nu
11.29.5.3,ko vā bhajet kim api vismṛtaye ’nu bhūtyai,ko va bhajet kim api vismrtaye 'nu bhutyai
11.29.5.4,kiṁ vā bhaven na tava pāda-rajo-juṣāṁ naḥ,kim va bhaven na tava pada-rajo-jusam nah
11.29.7.1,śrī-śuka uvāca,Sri-Suka uvaca
11.29.8.1,śrī-bhagavān uvāca,Sri-bhagavan uvaca
11.29.9.1,kuryāt sarvāṇi karmāṇi,kuryat sarvani karmani
11.29.9.2,mad-arthaṁ śanakaiḥ smaran,mad-artham sanakaih smaran
11.29.9.3,mayy arpita-manaś-citto,mayy arpita-manas-citto
11.29.9.4,mad-dharmātma-mano-ratiḥ,mad-dharmatma-mano-ratih
11.29.10.1,deśān puṇyān āśrayeta,desan punyan asrayeta
11.29.10.2,mad-bhaktaiḥ sādhubhiḥ śritān,mad-bhaktaih sadhubhih sritan
11.29.10.3,devāsura-manuṣyeṣu,devasura-manusyesu
11.29.10.4,mad-bhaktācaritāni ca,mad-bhaktacaritani ca
11.29.11.1,pṛthak satreṇa vā mahyaṁ,prthak satrena va mahyam
11.29.11.2,parva-yātrā-mahotsavān,parva-yatra-mahotsavan
11.29.11.3,kārayed gīta-nṛtyādyair,karayed gita-nrtyadyair
11.29.11.4,mahārāja-vibhūtibhiḥ,maharaja-vibhuatibhih
11.29.12.1,mām eva sarva-bhūteṣu,mam eva sarva-bhutesu
11.29.12.2,bahir antar apāvṛtam,bahir antar apavrtam
11.29.12.3,īkṣetātmani cātmānaṁ,iksetatmani catmanam
11.29.12.4,yathā kham amalāśayaḥ,yatha kham amalasayah
11.29.13-14.1,iti sarvāṇi bhūtāni,iti sarvani bhatani
11.29.13-14.2,mad-bhāvena mahā-dyute,mad-bhavena maha-dyute
11.29.13-14.3,sabhājayan manyamāno,sabhajayan manyamano
11.29.13-14.4,jñānaṁ kevalam āśritaḥ,inanam kevalam asritah
11.29.15.1,nareṣv abhīkṣṇaṁ mad-bhāvaṁ,naresv abhiksnam mad-bhavam
11.29.15.2,puṁso bhāvayato ’cirāt,pumso bhavayato 'cirat
11.29.15.3,spardhāsūyā-tiraskārāḥ,spardhasuya-tiraskarah
11.29.15.4,sāhaṅkārā viyanti hi,sahankara viyanti hi
11.29.16.1,visṛjya smayamānān svān,visrya smayamanan svan
11.29.16.2,dṛśaṁ vrīḍāṁ ca daihikīm,drésam vridam ca daihikim
11.29.16.3,praṇamed daṇḍa-vad bhūmāv,pranamed danda-vad bhumayv
11.29.16.4,ā-śva-cāṇḍāla-go-kharam,a-sva-candala-go-kharam
11.29.17.1,yāvat sarveṣu bhūteṣu,yavat sarvesu bhutesu
11.29.17.2,mad-bhāvo nopajāyate,mad-bhavo nopajayate
11.29.17.3,tāvad evam upāsīta,tavad evam upasita
11.29.17.4,vāṅ-manaḥ-kāya-vṛttibhiḥ,van-manah-kaya-vrttibhih
11.29.18.1,sarvaṁ brahmātmakaṁ tasya,sarvam brahmatmakam tasya
11.29.18.2,vidyayātma-manīṣayā,vidyayatma-manisaya
11.29.18.3,paripaśyann uparamet,paripasyann uparamet
11.29.18.4,sarvato mukta-saṁśayaḥ,sarvato mukta-sams§ayah
11.29.19.1,ayaṁ hi sarva-kalpānāṁ,ayam hi sarva-kalpanam
11.29.19.2,sadhrīcīno mato mama,sadhricino mato mama
11.29.19.3,mad-bhāvaḥ sarva-bhūteṣu,mad-bhavah sarva-bhutesu
11.29.19.4,mano-vāk-kāya-vṛttibhiḥ,mano-vak-kaya-vrttibhih
11.29.20.1,na hy aṅgopakrame dhvaṁso,na hy angopakrame dhvamso
11.29.20.2,mad-dharmasyoddhavāṇv api,mad-dharmasyoddhavany api
11.29.20.3,mayā vyavasitaḥ samyaṅ,maya vyavasitah samyan
11.29.20.4,nirguṇatvād anāśiṣaḥ,nirgunatvad anasisah
11.29.21.1,yo yo mayi pare dharmaḥ,yo yo mayi pare dharmah
11.29.21.2,kalpyate niṣphalāya cet,kalpyate nisphalaya cet
11.29.21.3,tad-āyāso nirarthaḥ syād,tad-ayaso nirarthah syad
11.29.21.4,bhayāder iva sattama,bhayader iva sattama
11.29.22.1,eṣā buddhimatāṁ buddhir,esa buddhimatam buddhir
11.29.22.2,manīṣā ca manīṣiṇām,manisa ca manisinam
11.29.22.3,yat satyam anṛteneha,yat satyam anrteneha
11.29.22.4,martyenāpnoti māmṛtam,martyenapnoti mamrtam
11.29.23.1,eṣa te ’bhihitaḥ kṛtsno,esa te 'bhihitah krtsno
11.29.23.2,brahma-vādasya saṅgrahaḥ,brahma-vadasya sangrahah
11.29.23.3,samāsa-vyāsa-vidhinā,samasa-vyasa-vidhina
11.29.23.4,devānām api durgamaḥ,devanam api durgamah
11.29.24.1,abhīkṣṇaśas te gaditaṁ,abhiksnasas te gaditam
11.29.24.2,jñānaṁ vispaṣṭa-yuktimat,inanam vispasta-yuktimat
11.29.24.3,etad vijñāya mucyeta,etad viinaya mucyeta
11.29.24.4,puruṣo naṣṭa-saṁśayaḥ,puruso nasta-samsayah
11.29.25.1,su-viviktaṁ tava praśnaṁ,su-viviktam tava prasgnam
11.29.25.2,mayaitad api dhārayet,mayaitad api dharayet
11.29.25.3,sanātanaṁ brahma-guhyaṁ,sanatanam brahma-guhyam
11.29.25.4,paraṁ brahmādhigacchati,param brahmadhigacchati
11.29.26.1,ya etan mama bhakteṣu,ya etan mama bhaktesu
11.29.26.2,sampradadyāt su-puṣkalam,sampradadyat su-puskalam
11.29.26.3,tasyāhaṁ brahma-dāyasya,tasyaham brahma-dayasya
11.29.26.4,dadāmy ātmānam ātmanā,dadamy atmanam atmana
11.29.27.1,ya etat samadhīyīta,ya etat samadhiyita
11.29.27.2,pavitraṁ paramaṁ śuci,pavitram paramam §suci
11.29.27.3,sa pūyetāhar ahar māṁ,sa puyetahar ahar mam
11.29.27.4,jñāna-dīpena darśayan,inana-dipena darsayan
11.29.28.1,ya etac chraddhayā nityam,ya etac chraddhaya nityam
11.29.28.2,avyagraḥ śṛṇuyān naraḥ,avyagrah srnuyan narah
11.29.28.3,mayi bhaktiṁ parāṁ kurvan,mayi bhaktim param kurvan
11.29.28.4,karmabhir na sa badhyate,karmabhir na sa badhyate
11.29.29.1,apy uddhava tvayā brahma,apy uddhava tvaya brahma
11.29.29.2,sakhe samavadhāritam,sakhe samavadharitam
11.29.29.3,api te vigato mohaḥ,api te vigato mohah
11.29.29.4,śokaś cāsau mano-bhavaḥ,sokas casau mano-bhavah
11.29.30.1,naitat tvayā dāmbhikāya,naitat tvaya dambhikaya
11.29.30.2,nāstikāya śaṭhāya ca,nastikaya sathaya ca
11.29.30.3,aśuśrūṣor abhaktāya,asusrusor abhaktaya
11.29.30.4,durvinītāya dīyatām,durvinitaya diyatam
11.29.31.1,etair doṣair vihīnāya,etair dosair vihinaya
11.29.31.2,brahmaṇyāya priyāya ca,brahmanyaya privaya ca
11.29.31.3,sādhave śucaye brūyād,sadhave sucaye bruyad
11.29.31.4,bhaktiḥ syāc chūdra-yoṣitām,bhaktih syac chudra-yositam
11.29.32.1,naitad vijñāya jijñāsor,naitad vijnaya jijnasor
11.29.32.2,jñātavyam avaśiṣyate,inatavyam avasisyate
11.29.32.3,pītvā pīyūṣam amṛtaṁ,pitva piyusam amrtam
11.29.32.4,pātavyaṁ nāvaśiṣyate,patavyam navasisyate
11.29.33.1,jñāne karmaṇi yoge ca,inane karmani yoge ca
11.29.33.2,vārtāyāṁ daṇḍa-dhāraṇe,vartayam danda-dharane
11.29.33.3,yāvān artho nṛṇāṁ tāta,yavan artho nrnam tata
11.29.33.4,tāvāṁs te ’haṁ catur-vidhaḥ,tavams te 'ham catur-vidhah
11.29.34.1,martyo yadā tyakta-samasta-karmā,martyo yada tyakta-samasta-karma
11.29.34.2,niveditātmā vicikīrṣito me,niveditatma vicikirsito me
11.29.34.3,tadāmṛtatvaṁ pratipadyamāno,tadamrtatvam pratipadyamano
11.29.34.4,mayātma-bhūyāya ca kalpate vai,mayatma-bhuayaya ca kalpate vai
11.29.35.1,śrī-śuka uvāca,Sri-Suka uvaca
11.29.36.1,viṣṭabhya cittaṁ praṇayāvaghūrṇaṁ,vistabhya cittam pranayavaghurnam
11.29.36.2,dhairyeṇa rājan bahu-manyamānaḥ,dhairyena rajan bahu-manyamanah
11.29.36.3,kṛtāñjaliḥ prāha yadu-pravīraṁ,krtanjalih praha yadu-praviram
11.29.36.4,śīrṣṇā spṛśaṁs tac-caraṇāravindam,Ssirsna spréams tac-caranaravindam
11.29.37.1,śrī-uddhava uvāca,Ssri-uddhava uvaca
11.29.38.1,pratyarpito me bhavatānukampinā,pratyarpito me bhavatanukampina
11.29.38.2,bhṛtyāya vijñāna-mayaḥ pradīpaḥ,bhrtyaya vijnana-mayah pradipah
11.29.38.3,hitvā kṛta-jñas tava pāda-mūlaṁ,hitva krta-jnas tava pada-mulam
11.29.38.4,ko ’nyaṁ samīyāc charaṇaṁ tvadīyam,ko 'nyam samiyac charanam tvadiyam
11.29.39.1,vṛkṇaś ca me su-dṛḍhaḥ sneha-pāśo,vrknas ca me su-drdhah sneha-paso
11.29.39.2,dāśārha-vṛṣṇy-andhaka-sātvateṣu,dasarha-vrsny-andhaka-satvatesu
11.29.39.3,prasāritaḥ sṛṣṭi-vivṛddhaye tvayā,prasaritah srsti-vivrddhaye tvaya
11.29.39.4,sva-māyayā hy ātma-subodha-hetinā,sva-mayaya hy atma-subodha-hetina
11.29.40.1,namo ’stu te mahā-yogin,namo 'stu te maha-yogin
11.29.40.2,prapannam anuśādhi mām,prapannam anusadhi mam
11.29.40.3,yathā tvac-caraṇāmbhoje,yatha tvac-caranambhoje
11.29.40.4,ratiḥ syād anapāyinī,ratih syad anapayinl
11.29.41-44.1,śrī-bhagavān uvāca,Sri-bhagavan uvaca
11.29.45.1,śrī-śuka uvāca,Sri-Suka uvaca
11.29.46.1,su-dustyaja-sneha-viyoga-kātaro,su-dustyaja-sneha-viyoga-kataro
11.29.46.2,na śaknuvaṁs taṁ parihātum āturaḥ,na saknuvams tam parihatum aturah
11.29.46.3,kṛcchraṁ yayau mūrdhani bhartṛ-pāduke,krechram yayau murdhani bhartr-paduke
11.29.46.4,bibhran namaskṛtya yayau punaḥ punaḥ,bibhran namaskrtya yayau punah punah
11.29.47.1,tatas tam antar hṛdi sanniveśya,tatas tam antar hrdi sannivesya
11.29.47.2,gato mahā-bhāgavato viśālām,gato maha-bhagavato visalam
11.29.47.3,yathopadiṣṭāṁ jagad-eka-bandhunā,yathopadistam jagad-eka-bandhuna
11.29.47.4,tapaḥ samāsthāya harer agād gatim,tapah samasthaya harer agad gatim
11.29.48.1,ya etad ānanda-samudra-sambhṛtaṁ,ya etad ananda-samudra-sambhrtam
11.29.48.2,jñānāmṛtaṁ bhāgavatāya bhāṣitam,inanamrtam bhagavataya bhasitam
11.29.48.3,kṛṣṇena yogeśvara-sevitāṅghriṇā,krsnena yogesvara-sevitanghrina
11.29.48.4,sac-chraddhayāsevya jagad vimucyate,sac-chraddhayasevya jagad vimucyate
11.29.49.1,bhava-bhayam apahantuṁ jñāna-vijñāna-sāraṁ,bhava-bhayam apahantum jnana-vijnana-saram
11.29.49.2,nigama-kṛd upajahre bhṛṅga-vad veda-sāram,nigama-krd upajahre bhrhiga-vad veda-saram
11.29.49.3,amṛtam udadhitaś cāpāyayad bhṛtya-vargān,amrtam udadhitas capayayad bhrtya-vargan
11.29.49.4,puruṣam ṛṣabham ādyaṁ kṛṣṇa-saṁjñaṁ nato ’smi,purusam rsabham adyam krsna-samjnam nato 'smi
11.30.1.1,śrī-rājovāca,Sri-rajovaca
11.30.2.1,brahma-śāpopasaṁsṛṣṭe,brahma-sapopasamsrste
